step,transactionType,amount,initiator,oldBalInitiator,newBalInitiator,recipient,oldBalRecipient,newBalRecipient,isFraud
97,TRANSFER,23766.75,4148713005639771,3646066.72,3622299.98,4114083440056399,37676.18,61442.93,0
76,TRANSFER,18828.03,4761027314697420,3948242.7,3929414.67,4399247720059433,197870.44,216698.47,0
65,PAYMENT,596.69,4363290015254428,2943817.66,2943220.97,54-0009119,76884.84,77481.53,0
38,WITHDRAWAL,175028.94,4755775857493239,3146299.96,2971271.02,21-0000954,35710.73,35710.73,0
119,DEPOSIT,164625.12,4159580074130834,3133924.36,3298549.48,33-0006905,148399.07,148399.07,0
89,PAYMENT,581.84,4282654012655036,2926337.62,2925755.78,86-0006001,146871.46,147453.3,0
122,PAYMENT,560.47,4254554965355531,3452295.07,3451734.6,16-0001093,210997.2,211557.67,0
141,TRANSFER,17005.96,4785262070554786,3667658.98,3650653.02,4167286055007054,78425.1,95431.06,1
114,TRANSFER,39610.37,4412407292156651,1371135.27,1331524.9,4039500667201178,96080.96,135691.34,1
93,PAYMENT,549.03,4061192963937431,2966468.79,2965919.76,44-0007730,138451.87,139000.9,0
54,PAYMENT,534.48,4946296789701292,2770701.15,2770166.67,58-0009792,55576.56,56111.04,0
19,PAYMENT,534.24,4554643821108247,4044729.65,4044195.41,85-0002317,9127.39,9661.63,0
103,TRANSFER,16876.34,4488537651459863,1452278.47,1435402.13,4520502906102189,95451.33,112327.67,1
140,DEPOSIT,181958.74,4786637640536356,4217614.62,4399573.35,64-0003702,247013.75,247013.75,0
48,WITHDRAWAL,93800.65,4183744779547102,3810239.86,3716439.21,37-0009372,64009.66,64009.66,0
85,PAYMENT,541.15,4042718344734883,1671102.34,1670561.19,68-0000181,264232.99,264774.14,0
111,PAYMENT,546.26,4071084957564016,1587765.74,1587219.49,52-0005159,148045.65,148591.9,0
67,TRANSFER,17160.96,4384934112844426,2433263.82,2416102.85,4583789206731916,0.0,17160.96,1
125,TRANSFER,43251.04,4009348492876293,780052.03,736800.99,4873210065735566,23650.24,66901.28,0
51,PAYMENT,575.31,4236680163395640,3753088.04,3752512.73,81-0003891,66305.78,66881.09,0
28,TRANSFER,21966.03,4210859893389087,4227670.85,4205704.82,4845206990372868,18121.98,40088.01,0
3,TRANSFER,21926.23,4935414500433383,140208.67,118282.44,4021266188565257,370474.08,392400.3,0
34,PAYMENT,566.7,4940955354656423,2521486.44,2520919.74,91-0003553,44814.2,45380.9,0
27,TRANSFER,17005.96,4264525877867845,3936605.12,3919599.16,4527038571912720,17133.51,34139.47,0
91,TRANSFER,19766.82,4609949045994741,2938665.27,2918898.45,4823330125560019,206359.91,226126.74,0
23,TRANSFER,20661.25,4058215082171635,3588294.33,3567633.07,4803164915818640,525446.66,546107.91,0
38,DEPOSIT,118311.08,4281940245074835,3782298.41,3900609.49,05-0002307,82977.69,82977.69,0
40,TRANSFER,17651.28,4258088731840696,3874846.71,3857195.44,4885451101023064,0.0,17651.28,0
71,TRANSFER,19718.38,4094812462163624,3514514.73,3494796.36,4052625059143902,40582.41,60300.79,0
143,PAYMENT,620.5,4664990722570430,3757265.71,3756645.21,76-0009342,388252.93,388873.42,0
127,TRANSFER,17443.62,4258088731840696,3513083.02,3495639.4,4150561778279175,17108.16,34551.78,0
72,TRANSFER,39281.13,4815691808757002,1989106.9,1949825.76,4414573694763101,46098.66,85379.79,0
137,PAYMENT,642.4,4114311318357221,2345289.28,2344646.89,60-0005866,238156.47,238798.87,0
137,DEPOSIT,136216.98,4912053144084173,2308954.26,2445171.24,54-0000505,274625.88,274625.88,0
18,DEPOSIT,59389.37,4969421622668787,2834639.17,2894028.54,22-0009087,43510.47,43510.47,0
9,DEPOSIT,231203.09,4102002514648513,992910.48,1224113.58,73-0006446,2336.21,2336.21,0
7,DEPOSIT,107192.0,4083282797843733,422323.77,529515.78,72-0008050,3532.5,3532.5,0
64,PAYMENT,560.17,4351287510105547,3543631.54,3543071.37,62-0003802,132437.82,132997.99,0
93,TRANSFER,16857.65,4324941307523114,2570516.36,2553658.71,4175654511294790,24711.79,41569.44,1
141,PAYMENT,570.66,4484650121306699,4851117.24,4850546.58,38-0006169,173894.31,174464.97,0
58,PAYMENT,583.18,4773336633011726,3287076.83,3286493.65,80-0004124,119109.17,119692.35,0
79,PAYMENT,610.21,4001090159212135,2122239.0,2121628.8,60-0002830,99372.29,99982.5,0
60,PAYMENT,588.5,4518228990822144,3149431.93,3148843.43,94-0009819,62544.12,63132.62,0
41,PAYMENT,596.98,4174995418732650,3488588.11,3487991.14,56-0003362,141431.98,142028.95,0
27,PAYMENT,535.27,4182279991564776,2706795.84,2706260.56,52-0009989,112886.73,113422.0,0
15,DEPOSIT,108700.8,4145971098093149,2112241.47,2220942.27,72-0001439,5266.65,5266.65,0
15,TRANSFER,17651.28,4723620350423029,991725.76,974074.48,4331608995683218,139212.32,156863.6,1
139,WITHDRAWAL,73115.76,4905436040906103,4444639.89,4371524.13,99-0007107,175766.24,175766.24,0
88,TRANSFER,17259.03,4611986346744595,2814003.85,2796744.82,4917436798758397,0.0,17259.03,0
76,PAYMENT,617.83,4118009387910567,2270642.1,2270024.27,22-0004866,276372.63,276990.46,0
109,PAYMENT,575.87,4814478846602577,2224197.25,2223621.39,31-0005999,76023.5,76599.37,0
32,TRANSFER,16945.23,4358074113645209,2863337.55,2846392.33,4178319985657305,42938.86,59884.08,0
13,TRANSFER,19824.96,4818340834065009,2889351.93,2869526.97,4870018970770146,0.0,19824.96,0
67,TRANSFER,19665.08,4481628465915393,3009323.35,2989658.26,4466876410138194,102949.13,122614.22,1
46,PAYMENT,656.91,4336148822056788,4362704.67,4362047.76,20-0006246,96151.4,96808.32,0
40,TRANSFER,20555.84,4331096947822128,4057455.76,4036899.93,4464741303766638,0.0,20555.84,0
30,TRANSFER,20195.21,4220520024956958,1802575.88,1782380.67,4117868411668504,17389.78,37584.99,0
22,TRANSFER,16886.39,4336148822056788,6020542.52,6003656.13,4639807130166597,44511.51,61397.9,0
4,PAYMENT,537.25,4487727733746798,209838.5,209301.26,02-0005199,1711.78,2249.02,0
45,TRANSFER,474779.8,4626280293246157,2154622.79,1679842.99,4311584071503709,1601045.12,2075824.92,0
81,PAYMENT,598.6,4701998742516684,3755795.99,3755197.39,81-0005115,58296.0,58894.59,0
91,TRANSFER,16810.74,4538543175704230,1631861.45,1615050.71,4611694720980195,206638.96,223449.7,0
50,PAYMENT,703.84,4666701370465478,2869262.18,2868558.34,00-0000356,243132.77,243836.61,0
107,PAYMENT,541.79,4215316922084069,2132899.31,2132357.52,21-0009470,284522.09,285063.88,0
124,PAYMENT,536.87,4536526347185570,3377181.69,3376644.81,91-0003445,240456.58,240993.45,0
8,DEPOSIT,30722.59,4995266061555781,723066.18,753788.77,25-0006582,1641.33,1641.33,0
136,DEPOSIT,72881.75,4329456410598841,1404874.41,1477756.16,39-0009552,154874.69,154874.69,0
136,TRANSFER,19602.52,4729827685431478,2323532.3,2303929.78,4678772904084859,92958.03,112560.55,0
138,DEPOSIT,52159.75,4613735373138926,2797639.4,2849799.15,53-0009507,291843.31,291843.31,0
14,DEPOSIT,245559.14,4929991409854734,3297636.32,3543195.46,31-0004861,3883.71,3883.71,0
30,PAYMENT,549.26,4107285309902410,3052905.23,3052355.97,11-0003365,58211.96,58761.23,0
66,PAYMENT,578.29,4735965985194743,2890812.11,2890233.82,95-0001460,159590.43,160168.72,0
5,PAYMENT,578.29,4952812206093898,-189191.92,-189770.21,71-0006574,1196.34,1774.63,0
7,DEPOSIT,36386.88,4018514877910572,358186.92,394573.8,72-0000698,1729.98,1729.98,0
136,PAYMENT,609.99,4449222226056639,2963312.73,2962702.74,98-0003200,133479.58,134089.57,0
38,WITHDRAWAL,106313.1,4478486365298351,4480323.87,4374010.77,77-0002320,166389.3,166389.3,0
28,PAYMENT,597.84,4754532790026688,4808869.66,4808271.82,30-0002637,27046.5,27644.33,0
119,PAYMENT,557.98,4159679633657046,3064493.37,3063935.39,15-0001691,128747.08,129305.06,0
24,PAYMENT,560.47,4729878832719422,2386344.2,2385783.72,10-0001652,27219.65,27780.12,0
67,PAYMENT,546.89,4910425856488242,3823249.82,3822702.93,63-0003973,260275.0,260821.89,0
119,DEPOSIT,284662.61,4927524531438480,1255207.52,1539870.12,67-0002022,222584.41,222584.41,0
86,PAYMENT,697.48,4801687545009950,3580829.33,3580131.85,75-0005830,72701.96,73399.44,0
90,TRANSFER,23508.81,4903441825797661,2013761.71,1990252.9,4835852048495383,68230.91,91739.72,0
56,PAYMENT,1046.21,4568096950731186,3478135.97,3477089.76,88-0008115,134898.74,135944.95,0
38,TRANSFER,17084.69,4100046208150007,3419727.72,3402643.03,4543307586229390,0.0,17084.69,0
15,PAYMENT,550.3,4172468341955592,3534527.74,3533977.44,13-0009699,42254.98,42805.28,0
18,PAYMENT,581.49,4606774781741657,3188288.22,3187706.73,95-0002648,16805.02,17386.51,0
9,DEPOSIT,7589.94,4564343991657903,1592808.18,1600398.12,71-0003845,2336.84,2336.84,0
134,DEPOSIT,79210.27,4770587775603299,2576140.9,2655351.17,01-0005197,216086.51,216086.51,0
135,TRANSFER,17023.68,4112096804673239,3118490.11,3101466.43,4396980278730855,27594.8,44618.48,1
110,PAYMENT,563.27,4435828401110532,2268412.06,2267848.79,25-0007745,176423.97,176987.24,0
45,WITHDRAWAL,95587.15,4156343494287335,3843576.07,3747988.92,80-0008329,111305.88,111305.88,0
39,DEPOSIT,218652.94,4496892331501976,3541470.36,3760123.3,71-0000985,126148.91,126148.91,0
60,TRANSFER,74821.21,4984071135926502,3133154.37,3058333.16,4490264739853605,87570.0,162391.21,0
102,TRANSFER,19870.64,4709172068953739,3926667.85,3906797.2,4392731827242064,39263.35,59133.99,0
16,PAYMENT,1126.14,4910577514432168,1964404.31,1963278.17,77-0009023,10000.56,11126.7,0
73,TRANSFER,16825.05,4608879716292730,4330946.87,4314121.82,4049806166791595,40116.9,56941.95,1
42,DEPOSIT,99580.8,4783261954407212,3399075.72,3498656.53,74-0008375,117978.03,117978.03,0
83,TRANSFER,17223.37,4422340209731621,3286933.46,3269710.09,4637753286305807,23740.34,40963.71,0
127,PAYMENT,557.98,4777262306900282,2201793.63,2201235.65,92-0007269,307270.15,307828.13,0
68,TRANSFER,42717.07,4752887985480682,2788950.43,2746233.36,4779943145906543,0.0,42717.07,0
36,TRANSFER,39726.88,4588833984623328,2637496.29,2597769.42,4334502962025718,16840.63,56567.5,0
118,TRANSFER,73324.79,4385747767997037,-45893.04,-45893.04,4851554525274864,40116.9,40116.9,0
56,TRANSFER,25580.6,4152207014880271,2745003.16,2719422.56,4595511545990458,237801.5,263382.1,0
99,TRANSFER,32949.05,4904328212668291,3720396.86,3687447.81,4512229419411754,41732.86,74681.91,0
10,DEPOSIT,75689.1,4426769703756880,1065076.61,1140765.71,25-0006582,1641.33,1641.33,0
24,TRANSFER,17190.81,4917880574076039,4265467.06,4248276.25,4725250669260157,28787.17,45977.98,1
22,TRANSFER,83799.76,4707972189400243,2551894.9,2468095.14,4503223194956332,0.0,83799.76,0
15,PAYMENT,1751.35,4472149920675028,3277261.7,3275510.35,91-0003402,15638.71,17390.05,0
100,PAYMENT,548.02,4226880948918151,3711422.82,3710874.8,77-0008675,181103.73,181651.74,0
87,PAYMENT,778.66,4190226585548863,1498096.14,1497317.47,88-0006561,161176.72,161955.38,0
9,DEPOSIT,15188.4,4589391860136625,2325121.14,2340309.54,87-0004983,6405.58,6405.58,0
39,TRANSFER,16876.34,4226535193172314,3830180.61,3813304.27,4219537273813055,136664.79,153541.14,1
11,PAYMENT,9880.02,4507992230778225,1983942.89,1974062.87,38-0001346,16879.36,26759.38,0
77,PAYMENT,648.89,4743100836408668,2378517.89,2377869.0,10-0000423,173577.44,174226.32,0
114,PAYMENT,596.69,4305311250582652,2278427.78,2277831.09,40-0000651,170436.49,171033.18,0
75,PAYMENT,545.85,4409998176542300,1887298.71,1886752.86,40-0007934,197999.74,198545.6,0
11,PAYMENT,552.17,4976654985621933,295804.34,295252.18,38-0009361,2267.37,2819.54,0
12,DEPOSIT,60269.27,4665109077524541,2354058.15,2414327.42,93-0003232,12565.58,12565.58,0
41,TRANSFER,480836.89,4639413957305424,5852353.66,5371516.77,4676330049918598,4447812.98,4928649.87,0
56,PAYMENT,599.11,4346132133010534,2690469.31,2689870.2,02-0005334,165689.15,166288.26,0
65,PAYMENT,503.54,4864857521212530,2556119.81,2555616.27,66-0001739,115008.5,115512.04,0
97,TRANSFER,23022.54,4130932200508272,3735840.01,3712817.47,4156469325181858,2203.91,25226.45,0
134,TRANSFER,16886.39,4358487712326387,4241552.49,4224666.11,4288051971976137,16804.02,33690.4,1
22,PAYMENT,9380.3,4621863991354137,4049810.92,4040430.63,48-0004457,73803.81,83184.1,0
110,TRANSFER,16989.35,4971664085133015,2336890.11,2319900.75,4275927205638491,39983.18,56972.53,1
126,PAYMENT,566.9,4703522567226712,1899896.59,1899329.69,78-0006457,130802.99,131369.89,0
140,DEPOSIT,195807.99,4187316310555666,3550440.26,3746248.25,42-0008248,196173.6,196173.6,0
48,PAYMENT,648.89,4739993837678081,3687558.38,3686909.5,48-0006760,232358.3,233007.18,0
19,TRANSFER,17108.16,4353666806749514,2621087.54,2603979.38,4706749346308852,0.0,17108.16,0
44,TRANSFER,20555.84,4709172068953739,4441289.65,4420733.81,4321414807377400,407756.46,428312.29,0
22,PAYMENT,668.23,4713348627069266,2023218.36,2022550.14,33-0000076,23421.55,24089.78,0
142,PAYMENT,7098.64,4264062065712278,5500543.17,5493444.53,36-0002444,223800.6,230899.25,0
84,TRANSFER,16876.34,4496892331501976,3378709.84,3361833.49,4476024664612659,33856.13,50732.47,0
91,TRANSFER,20784.24,4758077436876472,2946296.71,2925512.47,4221633043315673,0.0,20784.24,0
62,PAYMENT,544.9,4500913270409684,2560446.78,2559901.87,30-0007207,84724.46,85269.37,0
112,PAYMENT,605.63,4404131532371694,1588140.73,1587535.1,62-0007494,79365.54,79971.17,0
83,TRANSFER,75419.78,4348438044278013,3019096.2,2943676.42,4502943410648261,20099.04,95518.82,0
91,TRANSFER,16932.15,4184365722055164,2410489.61,2393557.46,4603338420126630,0.0,16932.15,0
19,DEPOSIT,165414.64,4406847631834963,3489363.9,3654778.54,11-0005715,53847.17,53847.17,0
8,DEPOSIT,3995.9,4328526828603051,189392.35,193388.25,54-0007952,2186.19,2186.19,0
59,PAYMENT,576.8,4422927238615823,2480857.84,2480281.04,15-0001058,150442.37,151019.17,0
141,PAYMENT,597.58,4493913343637690,2792050.55,2791452.97,26-0009878,284536.12,285133.7,0
73,PAYMENT,647.41,4308418561413688,3333077.38,3332429.97,94-0004312,196657.2,197304.62,0
102,PAYMENT,561.96,4466848299756552,2074712.07,2074150.11,16-0009457,221586.06,222148.02,0
59,TRANSFER,82089.57,4604482855203966,764015.84,681926.28,4861235162479473,17298.25,99387.82,0
16,WITHDRAWAL,147350.61,4990896714398406,4436592.42,4289241.8,63-0007181,29618.58,29618.58,0
32,PAYMENT,598.97,4204622297924067,3346568.68,3345969.71,85-0006515,36792.0,37390.97,0
113,TRANSFER,20099.04,4057439624151399,3577473.6,3557374.56,4177863271561375,0.0,20099.04,0
17,TRANSFER,17133.51,4826440768250302,425694.17,408560.67,4095445580198088,76107.52,93241.03,1
103,PAYMENT,596.98,4953454037985098,3736188.93,3735591.96,80-0006145,200238.61,200835.58,0
45,TRANSFER,16832.67,4901560521586706,2578166.15,2561333.49,4669898700767578,396467.97,413300.64,0
96,DEPOSIT,229805.59,4057439624151399,3659411.9,3889217.49,82-0009968,127889.83,127889.83,0
138,DEPOSIT,53364.47,4444153051699653,1412922.13,1466286.59,85-0000107,94030.55,94030.55,0
20,DEPOSIT,117923.82,4070617264325125,4119693.04,4237616.86,53-0000426,54906.19,54906.19,0
29,PAYMENT,614.73,4522125065946119,3089496.79,3088882.05,92-0003877,30048.86,30663.59,0
47,WITHDRAWAL,85220.33,4422324761738034,4535501.99,4450281.66,10-0008282,92976.37,92976.37,0
38,TRANSFER,21103.99,4988522745542069,2372022.27,2350918.28,4527400346250630,0.0,21103.99,0
36,DEPOSIT,249779.83,4323480725706697,4255322.79,4505102.62,11-0006504,117850.92,117850.92,0
